Make_ID,Make_Name
1,ALFA ROMEO
2,AUDI
3,BEDFORD
4,BENFORD
5,BMW
6,CADILLAC
7,CAM
8,CHEVROLET
9,CHRYSLER
10,CITROEN
11,DACIA
12,DAEWOO
13,DAF
14,DAIHATSU
15,DODGE
16,EICHER
17,FAW
18,FERRARI
19,FIAT
20,FORD
21,FOTON
22,GREATWALL
23,HINO
24,HONDA
25,HUMMER
26,HYUNDAI
27,INFINITI
28,ISUZU
29,IVECO
30,JAC
31,JAGUAR
32,JEEP
33,KIA
34,LAND ROVER
35,LEXUS
36,LEYLAND
37,MAHINDRA
38,MAN
39,MARUTI
40,MASSEY FERGUSON
41,MAZDA
42,MERCEDES-BENZ
43,MINI
44,MITSUBISHI
45,NISSAN
46,OPEL
47,PEUGEOT
48,PORSCHE
49,RENAULT
50,ROVER
51,SAAB
52,SAILOR/MEIYA
53,SCANIA
54,SHACMAN
55,SKODA
56,SMART
57,SSANG YONG
58,SUBARU
59,SUZUKI
60,TATA
61,TIGGO
62,TOYOTA
63,VAUXHALL
64,VOLKSWAGEN
65,VOLVO
