County_ID,County_Name
1,Baringo
2,Bomet
3,Bungoma
4,Busia
5,Elgeyo-Marakwet
6,Embu
7,Garissa
8,Homa Bay
9,Isiolo
10,Kajiado
11,Kakamega
12,Kericho
13,Kiambu
14,Kilifi
15,Kirinyaga
16,Kisii
17,Kisumu
18,Kitui
19,Konoin
20,Kwale
21,Laikipia
22,Lamu
23,Machakos
24,Makueni
25,Mandera
26,Marsabit
27,Meru
28,Migori
29,Mombasa
30,Murang'A
31,Nairobi
32,Nakuru
33,Nandi
34,Narok
35,Nyamira
36,Nyandarua
37,Nyeri
38,Samburu
39,Siaya
40,Taita Taveta
41,Tana River
42,Tharaka-Nithi
43,Trans Nzoia
44,Trans Nzoia
45,Turkana
46,Uasin Gishu
47,Vihiga
48,Wajir
49,West Pokot
