Ward_Code,Ward_Name,County_Name,Constituency_Code,Constituency_Name
1,Port Reitz,Mombasa,1,Changamwe
2,Kipevu,Mombasa,1,Changamwe
3,Airport,Mombasa,1,Changamwe
4,Changamwe,Mombasa,1,Changamwe
5,Chaani,Mombasa,1,Changamwe
6,Jomvu Kuu,Mombasa,2,Jomvu
7,Miritini,Mombasa,2,Jomvu
8,Mikindani,Mombasa,2,Jomvu
9,Mjambere,Mombasa,3,Kisauni
10,Junda,Mombasa,3,Kisauni
11,Bamburi,Mombasa,3,Kisauni
12,Mwakirunge,Mombasa,3,Kisauni
13,Mtopanga,Mombasa,3,Kisauni
14,Magogoni,Mombasa,3,Kisauni
15,Shanzu,Mombasa,3,Kisauni
16,Frere Town,Mombasa,4,Nyali
17,Ziwa La Ng'Ombe,Mombasa,4,Nyali
18,Mkomani,Mombasa,4,Nyali
19,Kongowea,Mombasa,4,Nyali
20,Kadzandani,Mombasa,4,Nyali
21,Mtongwe,Mombasa,5,Likoni
22,Shika Adabu,Mombasa,5,Likoni
23,Bofu,Mombasa,5,Likoni
24,Likoni,Mombasa,5,Likoni
25,Timbwani,Mombasa,5,Likoni
26,Mji Wa Kale/Makadara,Mombasa,6,Mvita
27,Tudor,Mombasa,6,Mvita
28,Tononoka,Mombasa,6,Mvita
29,Shimanzi/Ganjoni,Mombasa,6,Mvita
30,Majengo,Mombasa,6,Mvita
31,Gombato Bongwe,Kwale,7,Msambweni
32,Ukunda,Kwale,7,Msambweni
33,Kinondo,Kwale,7,Msambweni
34,Ramisi,Kwale,7,Msambweni
35,Pongwe/Kikoneni,Kwale,8,Lungalunga
36,Dzombo,Kwale,8,Lungalunga
37,Mwereni,Kwale,8,Lungalunga
38,Vanga,Kwale,8,Lungalunga
39,Tsimba Golini,Kwale,9,Matuga
40,Waa,Kwale,9,Matuga
41,Tiwi,Kwale,9,Matuga
42,Kubo South,Kwale,9,Matuga
43,Mkongani,Kwale,9,Matuga
44,Ndavaya,Kwale,10,Kinango
45,Puma,Kwale,10,Kinango
46,Kinango,Kwale,10,Kinango
47,Mackinnon Road,Kwale,10,Kinango
48,Chengoni/Samburu,Kwale,10,Kinango
