,index,Model_Name,Make_Name,Series
0,25,"147  [1.6, HB, 2WD, PETROL]",ALFA ROMEO,147
1,51,"147  [2.0, HB, 2WD, PETROL]",ALFA ROMEO,147
2,77,"156 JD  [1.6, SAL, 2WD, PETROL]",ALFA ROMEO,156
3,103,"156 VELOCE  [2.0, SAL, 2WD, PETROL]",ALFA ROMEO,156
4,129,"ALFA ROMEO A1560 2.0  [2.0, HB, 2WD, PETROL]",ALFA ROMEO,ALFA
5,155,"GTV  [2.0, SAL, 2WD, PETROL]",ALFA ROMEO,GTV
6,181,"SPIDER  [2.0, SAL, 2WD, PETROL]",ALFA ROMEO,SPIDER
7,207,"A3  [1.6, SAL, 2WD, PETROL]",AUDI,A3
8,233,"A3  [1.8, SAL, 2WD, PETROL]",AUDI,A3
9,259,"A3 SE AUTO  [1.8, SAL, 2WD, PETROL]",AUDI,A3
10,285,"A3 SE MANUAL  [1.8, SAL, 2WD, PETROL]",AUDI,A3
11,311,"A4 2.0  [2.0, SAL, 4WD, PETROL]",AUDI,A4
12,337,"A4 2.0T TIPTRONIC  [2.0, SAL, 2WD, PETROL]",AUDI,A4
13,363,"A4 AVANT  [1.8, SW, 2WD, PETROL]",AUDI,A4
14,389,"A4 AVANT SEDAN  [1.8, SAL, 4WD, PETROL]",AUDI,A4
15,415,"A4 AVANT WAGON  [1.8, SW, 4WD, PETROL]",AUDI,A4
16,441,"A4 FSI S-LINE  [2.0, SAL, 4WD, PETROL]",AUDI,A4
17,467,"A4 SEDAN  [1.8, SAL, 2WD, PETROL]",AUDI,A4
18,493,"A4 TURBO QUATTRO  [1.8, SAL, 2WD, PETROL]",AUDI,A4
19,519,"A5 2.7 SB  [2.7, SAL, 2WD, DIESEL]",AUDI,A5
20,545,"A5 TDI  [2.0, SAL, 2WD, DIESEL]",AUDI,A5
21,571,"A5 TDI  [3.0, SAL, 2WD, DIESEL]",AUDI,A5
22,597,"A5 TFSI  [1.8, SAL, 2WD, PETROL]",AUDI,A5
23,623,"A5 TFSI  [2.0, SAL, 2WD, PETROL]",AUDI,A5
24,649,"A5 TFSI  [3.0, SAL, 2WD, PETROL]",AUDI,A5
25,675,"A6 SE AUTO  [2.4, SAL, 2WD, PETROL]",AUDI,A6
26,701,"A6 STDI  [2.4, SAL, 2WD, PETROL]",AUDI,A6
27,727,"A6 TDI  [2.0, SW, 2WD, DIESEL]",AUDI,A6
28,753,"A6 TDI  [3.0, SW, 2WD, DIESEL]",AUDI,A6
29,779,"A6 TURBO  [1.8, SAL, 2WD, PETROL]",AUDI,A6
30,805,"A6 TURBO SE AUTO  [1.8, SAL, 2WD, PETROL]",AUDI,A6
31,831,"A6 TURBO SE MANUAL  [1.8, SAL, 2WD, PETROL]",AUDI,A6
32,857,"A8 SE TDI QUATTRO  [3.0, SAL, 2WD, DIESEL]",AUDI,A8
33,883,"AUDI 500  [4.2, SAL, 2WD, PETROL]",AUDI,AUDI
34,909,"Q5 2.0L AUTO  [2.0, SW, 2WD, PETROL]",AUDI,Q5
35,935,"Q5 3.2L AUTO  [3.2, SW, 2WD, PETROL]",AUDI,Q5
36,961,"Q7  [3.0, SW,  , PETROL]",AUDI,Q7
37,987,"Q7 3.0T PREMIUM  [3.0, SW, AWD, PETROL]",AUDI,Q7
38,1013,"Q7 3.0TDI PREMIUM  [3.0, SW, AWD, DIESEL]",AUDI,Q7
39,1039,"Q7 3.0TS-LINE PRESTIGE  [3.0, SW, AWD, PETROL]",AUDI,Q7
40,1065,"TT  [1.8, COUPE, 2WD, PETROL]",AUDI,TT
41,1091,"BEDFORD MJT2  [4.5, TRK,  , DIESEL]",BEDFORD,BEDFORD
42,1117,"BEDFORD MJT2  [5.4, TRK,  , DIESEL]",BENFORD,BEDFORD
43,1143,"116d E81 HAT N47  [1.6, HB, 2WD, DIESEL]",BMW,1 SERIES
44,1169,"116d F20SH N47-SPECIAL 1C71 1C72  [1.6, HB, 2WD, DIESEL]",BMW,1 SERIES
45,1195,"116d N47 UH51 UH52  [1.6, SAL, 2WD, PETROL]",BMW,1 SERIES
46,1221,"116d N47 UK51 UK52  [1.6, SAL, 2WD, PETROL]",BMW,1 SERIES
47,1247,"116i - ADV  [1.6, SAL, 2WD, PETROL]",BMW,1 SERIES
48,1273,"116i - COM  [1.6, SAL, 2WD, PETROL]",BMW,1 SERIES
49,1299,"116i AUTO  [1.6, SAL, 2WD, PETROL]",BMW,1 SERIES
50,1325,"116i DYN & COM  [1.6, SAL, 2WD, PETROL]",BMW,1 SERIES
51,1351,"116i E81 HAT NA45  [1.6, HB, 2WD, PETROL]",BMW,1 SERIES
52,1377,"116i E81 N45 UA11 UA12  [1.6, SAL, 2WD, PETROL]",BMW,1 SERIES
53,1403,"116i E87 45 UE11 UE12  [1.6, SAL, 2WD, PETROL]",BMW,1 SERIES
54,1429,"116i F20SH N13  [1.6, HB, 2WD, PETROL]",BMW,1 SERIES
55,1455,"116i MANUAL  [1.6, SAL, 2WD, DIESEL]",BMW,1 SERIES
56,1481,"116iAUTO  [1.6, SAL, 2WD, DIESEL]",BMW,1 SERIES
57,1507,"118 D.- ADV  [2.0, SAL, 2WD, DIESEL]",BMW,1 SERIES
