org_name,physical_address,email,website,avatar_url
AAR Insurance,"George Williamson House, 2nd Floor, 4 th Ngong Avenue ",info@aar.co.ke,www.aar-insurance.com/ke,
Capex Life Assurance,"7 th Floor, Galana Plaza, Wind D Suite 01, Galana Rd, off Argwings Khodek and 6 th Floor Avenue Office Suites, Ngong Road",info@capexlifeassurance.co.ke,www.capexlifeassurance.co.ke,
Geminia Insurance,"6 th Floor, Geminia Plaza Upper Hill",info@geminia.co.ke,www.geminia.co.ke,
Kenya Orient Insurance,"Capitol Hill Towers, 6 th Floor Cathedral Road, Nairobi",contactme@korient.co.ke,www.korient.co.ke,
Allianz Insurance,"4 th Floor, Cavendish Block-14 Riverside Drive",contact@allianz.co.ke,www.allianz-africa.com,
CIC General Insurance,"CIC PLAZA, Mara Road, Upper Hill",info@cic.co.ke,www.cic.co.ke,
Heritage Insurance,"Liberty House, Mamlaka Road",info@heritage.co.ke,www.heritageinsurance.co.ke,
Kenyan Alliance Insuranc,"Chester House, Koinange Street",kai@kenyanalliance.com,kenyanalliance.co.ke,
Africa Merchant Assurance,"2 nd Floor, Trans-National Plaza, Mama Ngina Street",info@amaco.co.ke,www.amaco.co.ke,
Corporate Insurance,"Corporate Place, Kiambere Road, off Lowerhill Road",info@cickenya.com,www.corporate-insurance.co.ke,
ICEA Lion General Insurance,"ICEA Building, Kenyatta Avenue",insurance@icealion.com,www.icealion.com,
Liberty Life Assurance,"Liberty House, Processional Way",csc@libertylife.co.ke,www.liberty.co.ke,
AIG Kenya Insurance,"AIG House, Eden Square Complex, Chiromo Road",aigkenya@aig.com,www.aig.co.ke,
Direct Line Assurance,"17 th Floor, Hazina Towers, Monrovia Street",Info@directline.co.ke,www.directline.co.ke,
Intra Africa Assurance,"Williamson House, 4 th Ngong Avenue",info@intraafrica.co.ke,www.intraafrica.co.ke,
Madison Insurance,"Madison Insurance House, Upper Hill Road",Madison@madison.co.ke,www.madison.co.ke,
APA General Insurance,"Apollo Centre, Westlands",info@apainsure.org,www.apainsurance.org,
Fidelity Shield Insurance,"Equatorial Fidelity Centre, 5 th Floor, Waridi Lane, Off Waiyaki Way, Westlands",info@fidelityshield.com,www.fidelityshield.com,
Invesco Assurance,"3 rd floor Bishop Magua Centre, Ngong Road",info@invescoassurance.co.ke,www.invescoassurance.co.ke,
Mayfair Insurance,"Mayfair Centre, Ralph Bunche Road",info@mayfair.co.ke,www.mayfair.co.ke,
Barclays Life Assurance,"Barclays Westend Building, Off Waiyaki Way",barclays.kenya@barclays.com,www.barclays.co.ke/corporate/ insurance,
First Assurance,"First Assurance House, Gitanga Rd",info@firstassurance.co.ke,www.firstassurance.co.ke,
Jubilee Insurance,"Jubilee Insurance House, Mama Ngina Street",info@jubileekenya.com,www.jubileeinsurance.com/ke,
Metropolitan Canon Life Insurance,"Gateway Business Park, Block D, Mombasa Road",clientservice@metcanon.co.ke,www.metcannon.co.ke,
Britam General Insurance,"Britam Centre, Mara/Ragati Road,Upperhill",info@britam.com,www.britam.com,
GA Kenya Insurance,"GA House, Ralph Bunche Rd",atyourservice@gakenya.com,www.gakenya.com,
Kenindia Assurance,"Kenindia House, Loita Street",kenindia@kenindia.com,www.kenindia.com,
The Monarch Insurance,"664 Ole Nguruone Avenue, off James Gichuru Road, Lavington",info@mornachinsurance.co.ke,www.monarchinsurance.co.ke,
Occidental Insurance,"7 th Floor, Crescent Business Centre - Cresent Road, Parklands, Opposite M.P Shah Hospital",enquiries@occidental-ins.com,www.occidental-ins.com,
Sanlam General Insurance,"Pan Africa Life House, Kenyatta Avenue",customerservice@sanlam.co.ke,www.sanlam.com/kenya,
PACIS Insurance,"Centenary House, 2 nd Floor Off Ring Road, Westlands",customercare@paciskenya.com,www.paciskenya.com,
Takaful Insurance of Africa,"CIC Plaza, Mara Road",info@takafulafrica.com,www.takafulafrica.com,
Phoenix Assurance,"Ambank House, 17 th Floor, University Way",info@phoenixkenya.com,www.phoenixassurancegroup.com,
Tausi Assurance,"Tausi Court, Tausi Road, Off Muthithi Rd",clients@tausiassurance.com,www.tausiassurance.com,
Pioneer General Insurance,"Pioneer House, Moi Avenue",info@pioneerassurance.co.ke,www.pioneerassurance.co.ke,
Trident Insurance,"1 st Floor, Capitol Hill Towers, Cathedral Road",marketing.dept@trident.co.ke,www.trident.co.ke,
Prudential Assurance,"5 th Ngong Avenue Office Suites,5 th Ngong Avenue off Ngong Road",info@prudentiallife.co.ke,www.prudentiallife.co.ke,
UAP Old Mutual Life Insurance,"Old Mutual Building, Upper Hill",uapinsurance@uap-group.com,www.uap-group.com,
Resolution Insurance,"Parkfield Place, Muthangari Drive, off Waiyaki Way, Westlands",info@resolution.co.ke,www.resolution.co.ke,
Xplico Insurance,"Park Place, 2 nd Avenue, 5 th Floor, Parklands, Off Limuru Road",info@xplicoinsurance.co.ke,www.xplicoinsurance.co.ke,
Saham Assurance Company,"Ecobank Towers, Muindi Mbingu",headoffice-kenya@sahamassurance.com,www.sahamassurance.co.ke,
