,Constituency,Ward,Relativity
1,Westlands,Kitisuru,0.95
2,Westlands,Parklands/Highridge,0.95
3,Westlands,Karura,0.95
4,Westlands,Kangemi,1.005
5,Westlands,Mountain View,1.0
6,Dagoretti North,Kilimani,1.0
7,Dagoretti North,Gatina,1.005
8,Dagoretti North,Kileleshwa,1.0
9,Dagoretti South,Kawangware,1.005
10,Dagoretti South,Kabiro,1.005
11,Dagoretti South,Mutuini,1.005
12,Dagoretti South,Ngando,1.005
13,Dagoretti South,Riruta,1.005
14,Dagoretti South,Uthiru/Ruthimitu,1.005
15,Dagoretti South,Waithaka,1.01
16,Langata,Karen,1.0
17,Langata,Nairobi West,1.005
18,Langata,Mugumo-Ini,1.005
19,Langata,South C,1.005
20,Kibra,Nyayo Highrise,1.005
21,Kibra,Laini Saba,1.005
22,Kibra,Lindi,1.005
23,Kibra,Makina,1.005
24,Kibra,Woodley/Kenyatta Golf Course,1.0
25,Kibra,Sarang'Ombe,1.005
26,Roysambu,Githurai,1.01
27,Roysambu,Kahawa West,1.01
28,Roysambu,Zimmerman,1.01
29,Roysambu,Roysambu,1.01
30,Roysambu,Kahawa,1.01
31,Kasarani,Claycity,1.01
32,Kasarani,Mwiki,1.015
33,Kasarani,Kasarani,1.015
34,Kasarani,Njiru,1.015
35,Kasarani,Ruai,1.015
36,Ruaraka,Baba Dogo,1.015
37,Ruaraka,Utalii,1.015
38,Ruaraka,Mathare North,1.015
39,Ruaraka,Lucky Summer,1.015
40,Ruaraka,Korogocho,1.015
41,Embakasi South,Imara Daima,1.01
42,Embakasi South,Kwa Njenga,1.015
43,Embakasi South,Kwa Reuben,1.015
44,Embakasi South,Pipeline,1.015
45,Embakasi South,Kware,1.015
46,Embakasi North,Kariobangi North,1.015
47,Embakasi North,Dandora Area I,1.02
48,Embakasi North,Dandora Area Ii,1.02
49,Embakasi North,Dandora Area Iii,1.02
50,Embakasi North,Dandora Area Iv,1.02
51,Embakasi Central,Kayole North,1.02
52,Embakasi Central,Kayole Central,1.02
53,Embakasi Central,Kayole South,1.02
54,Embakasi Central,Komarock,1.015
55,Embakasi Central,Matopeni/Spring Valley,1.015
56,Embakasi East,Upper Savannah,1.015
57,Embakasi East,Lower Savannah,1.015
58,Embakasi East,Embakasi,1.01
59,Embakasi East,Utawala,1.01
60,Embakasi East,Mihango,1.01
61,Embakasi West,Umoja I,1.001
62,Embakasi West,Umoja Ii,1.001
63,Embakasi West,Mowlem,1.001
64,Embakasi West,Kariobangi South,1.015
65,Makadara,Maringo/Hamza,1.015
66,Makadara,Viwandani,1.015
67,Makadara,Harambee,1.015
68,Makadara,Makongeni,1.015
69,Kamukunji,Pumwani,1.015
70,Kamukunji,Eastleigh North,1.01
71,Kamukunji,Eastleigh South,1.01
72,Kamukunji,Airbase,1.01
73,Kamukunji,California,1.01
74,Starehe,Nairobi Central,1.0
75,Starehe,Ngara,1.0
76,Starehe,Pangani,1.0
77,Starehe,Ziwani/Kariokor,1.01
78,Starehe,Landimawe,1.01
79,Starehe,Nairobi South,1.01
80,Mathare,Hospital,1.01
81,Mathare,Mabatini,1.01
82,Mathare,Huruma,1.01
83,Mathare,Mlango Kubwa,1.01
84,Mathare,Kiamaiko,1.01
85,Changamwe,Port Reitz,1.0
86,Changamwe,Kipevu,1.0
87,Changamwe,Airport,1.0
88,Changamwe,Changamwe,1.0
89,Changamwe,Chaani,1.0
90,Jomvu,Jomvu Kuu,1.0
91,Jomvu,Miritini,1.0
92,Jomvu,Mikindani,1.0
93,Kisauni,Mjambere,1.0
94,Kisauni,Junda,1.0
95,Kisauni,Bamburi,1.0
96,Kisauni,Mwakirunge,1.0
97,Kisauni,Mtopanga,1.0
98,Kisauni,Magogoni,1.0
99,Kisauni,Shanzu,1.0
100,Nyali,Frere Town,1.0
101,Nyali,Ziwa La Ng'Ombe,1.0
102,Nyali,Mkomani,1.0
103,Nyali,Kongowea,1.0
104,Nyali,Kadzandani,1.0
105,Likoni,Mtongwe,1.0
106,Likoni,Shika Adabu,1.0
107,Likoni,Bofu,1.0
108,Likoni,Likoni,1.0
109,Likoni,Timbwani,1.0
110,Mvita,Mji Wa Kale/Makadara,1.0
111,Mvita,Tudor,1.0
112,Mvita,Tononoka,1.0
113,Mvita,Shimanzi/Ganjoni,1.0
114,Mvita,Majengo,1.0
115,Msambweni,Gombato Bongwe,1.0
116,Msambweni,Ukunda,1.0
117,Msambweni,Kinondo,1.0
118,Msambweni,Ramisi,1.0
119,Lungalunga,Pongwe/Kikoneni,1.0
120,Lungalunga,Dzombo,1.0
121,Lungalunga,Mwereni,1.0
122,Lungalunga,Vanga,1.0
123,Matuga,Tsimba Golini,1.0
124,Matuga,Waa,1.0
125,Matuga,Tiwi,1.0
126,Matuga,Kubo South,1.0
127,Matuga,Mkongani,1.0
128,Kinango,Ndavaya,1.0
129,Kinango,Puma,1.0
130,Kinango,Kinango,1.0
131,Kinango,Mackinnon Road,1.0
132,Kinango,Chengoni/Samburu,1.0
133,Kinango,Mwavumbo,1.0
134,Kinango,Kasemeni,1.0
135,Kilifi North,Tezo,1.0
136,Kilifi North,Sokoni,1.0
137,Kilifi North,Kibarani,1.0
138,Kilifi North,Dabaso,1.0
139,Kilifi North,Matsangoni,1.0
140,Kilifi North,Watamu,1.0
141,Kilifi North,Mnarani,1.0
142,Kilifi South,Junju,1.0
143,Kilifi South,Mwarakaya,1.0
144,Kilifi South,Shimo La Tewa,1.0
145,Kilifi South,Chasimba,1.0
146,Kilifi South,Mtepeni,1.0
147,Kaloleni,Mariakani,1.0
148,Kaloleni,Kayafungo,1.0
149,Kaloleni,Kaloleni,1.0
150,Kaloleni,Mwanamwinga,1.0
151,Rabai,Mwawesa,1.0
152,Rabai,Ruruma,1.0
153,Rabai,Kambe/Ribe,1.0
154,Rabai,Rabai/Kisurutini,1.0
155,Ganze,Ganze,1.0
156,Ganze,Bamba,1.0
157,Ganze,Jaribuni,1.0
158,Ganze,Sokoke,1.0
159,Malindi,Jilore,1.0
160,Malindi,Kakuyuni,1.0
161,Malindi,Ganda,1.0
162,Malindi,Malindi Town,1.0
163,Malindi,Shella,1.0
164,Malindi,Sabaki,1.0
165,Magarini,Marafa,1.0
166,Magarini,Magarini,1.0
167,Magarini,Gongoni,1.0
168,Magarini,Adu,1.0
169,Magarini,Garashi,1.0
170,Garsen,Kipini East,1.0
171,Garsen,Garsen South,1.0
172,Garsen,Kipini West,1.0
173,Garsen,Garsen Central,1.0
174,Garsen,Garsen West,1.0
175,Garsen,Garsen North,1.0
176,Galole,Kinakomba,1.0
177,Galole,Mikinduni,1.0
178,Galole,Chewani,1.0
